[2025-05-27 10:47:09] IP: 172.26.9.43 | Usuario: uziel.fierro | Página: Desconocido | Elemento: No especificado
[2025-05-27 10:47:10] IP: 172.26.9.43 | Usuario: uziel.fierro | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-05-27 10:54:27] IP: 172.16.68.101 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-05-27 10:54:50] IP: 172.16.68.101 | Usuario: minero.rodolfo | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-05-27 10:58:06] IP: 172.16.68.101 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-05-27 10:58:35] IP: 172.16.68.101 | Usuario: Invitado | Página: http://172.16.68.252:888/monitoreos/dump_axess/recuperar.php | Elemento: No especificado
[2025-05-27 10:58:48] IP: 172.16.68.101 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-05-27 11:07:57] IP: 172.16.68.101 | Usuario: luis.caballeros | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-05-27 11:16:30] IP: 172.16.68.101 | Usuario: luis.caballeros | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-05-27 11:27:07] IP: 172.16.68.101 | Usuario: luis.caballeros | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-05-27 11:33:27] IP: 172.16.68.101 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-05-27 11:33:31] IP: 172.16.68.101 | Usuario: luis.caballeros | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-05-28 07:48:39] IP: 172.28.51.17 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-05-28 07:48:41] IP: 172.28.51.17 | Usuario: jose.orellana | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Voz
[2025-05-29 08:53:49] IP: 172.28.51.17 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-05-29 08:53:52] IP: 172.28.51.17 | Usuario: jose.orellana | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Voz
[2025-05-29 09:20:21] IP: 172.28.51.17 | Usuario: jose.orellana | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Valores Pendientes
[2025-05-29 09:39:13] IP: 172.16.68.101 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-05-29 09:39:27] IP: 172.16.68.101 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-05-29 09:47:27] IP: 172.16.68.101 | Usuario: luis.caballeros | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-05-29 09:51:18] IP: 172.16.68.101 | Usuario: luis.caballeros | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-05-30 10:49:36] IP: 172.16.68.101 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-05-30 10:49:44] IP: 172.16.68.101 | Usuario: luis.caballeros | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-06-02 08:40:14] IP: 172.26.9.43 | Usuario: uziel.fierro | Página: Desconocido | Elemento: No especificado
[2025-06-02 08:40:16] IP: 172.26.9.43 | Usuario: uziel.fierro | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-06-02 15:11:49] IP: 172.26.8.129 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-06-02 15:12:38] IP: 172.26.8.129 | Usuario: lexmark.palacios | Página: Desconocido | Elemento: No especificado
[2025-06-02 15:12:40] IP: 172.26.8.129 | Usuario: lexmark.palacios | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-06-02 15:15:03] IP: 172.26.8.129 | Usuario: lexmark.palacios | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Voz
[2025-06-02 15:17:15] IP: 172.26.8.129 | Usuario: lexmark.palacios | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: IP Pública
[2025-06-02 15:17:24] IP: 172.26.8.129 | Usuario: lexmark.palacios | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Valores Pendientes
[2025-06-03 08:56:18] IP: 172.26.8.129 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-06-03 08:58:52] IP: 172.26.8.129 | Usuario: lexmark.palacios | Página: Desconocido | Elemento: No especificado
[2025-06-03 08:58:55] IP: 172.26.8.129 | Usuario: lexmark.palacios | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-06-03 09:23:34] IP: 172.26.8.129 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-06-03 09:23:35] IP: 172.26.8.129 | Usuario: lexmark.palacios | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-06-03 09:25:49] IP: 172.26.8.129 | Usuario: lexmark.palacios | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Voz
[2025-06-03 09:27:23] IP: 172.26.8.129 | Usuario: lexmark.palacios | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: IP Pública
[2025-06-03 09:31:20] IP: 172.26.8.129 | Usuario: lexmark.palacios | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Valores Pendientes
[2025-06-04 11:24:43] IP: 172.26.9.43 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-06-04 11:24:43] IP: 172.26.9.43 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-06-04 11:24:43] IP: 172.26.9.43 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-06-04 11:24:44] IP: 172.26.9.43 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-06-04 11:24:46] IP: 172.26.9.43 | Usuario: uziel.fierro | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-06-05 08:17:11] IP: 172.16.69.46 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-06-05 08:17:56] IP: 172.16.69.46 | Usuario: mario.alarcon | Página: Desconocido | Elemento: No especificado
[2025-06-05 08:18:03] IP: 172.16.69.46 | Usuario: mario.alarcon | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-06-05 08:20:37] IP: 172.16.69.46 | Usuario: mario.alarcon | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: IP Pública
[2025-06-05 08:20:49] IP: 172.16.69.46 | Usuario: mario.alarcon | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Valores Pendientes
[2025-06-05 09:02:02] IP: 172.16.69.46 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-06-05 09:02:08] IP: 172.16.69.46 | Usuario: mario.alarcon | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-06-05 09:40:30] IP: 172.16.69.46 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-06-05 09:40:37] IP: 172.16.69.46 | Usuario: mario.alarcon | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-06-06 09:51:55] IP: 172.16.68.252 | Usuario: osorio.albert | Página: Desconocido | Elemento: No especificado
[2025-06-06 09:52:19] IP: 172.16.68.252 | Usuario: osorio.albert | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-06-06 09:55:24] IP: 172.16.68.252 | Usuario: osorio.albert | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Valores Pendientes
[2025-06-09 09:20:45] IP: 172.28.51.17 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-06-09 09:20:51] IP: 172.28.51.17 | Usuario: jose.orellana | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-06-09 16:50:09] IP: 172.26.9.44 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-06-09 17:47:51] IP: 172.23.9.184 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-06-09 17:47:55] IP: 172.23.9.184 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-06-09 17:48:03] IP: 172.23.9.184 | Usuario: minero.rodolfo | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-06-09 17:50:21] IP: 172.23.9.184 | Usuario: minero.rodolfo | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-06-09 17:50:30] IP: 172.23.9.184 | Usuario: minero.rodolfo | Página: Desconocido | Elemento: No especificado
[2025-06-09 17:50:42] IP: 172.23.9.184 | Usuario: minero.rodolfo | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-06-10 08:38:37] IP: 172.23.151.196 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-06-10 08:38:43] IP: 172.23.151.196 | Usuario: manuel.linares | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-06-10 08:41:27] IP: 172.23.151.196 | Usuario: manuel.linares | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Voz
[2025-06-10 08:44:10] IP: 172.23.151.196 | Usuario: manuel.linares | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: IP Pública
[2025-06-10 08:44:25] IP: 172.23.151.196 | Usuario: manuel.linares | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Valores Pendientes
[2025-06-10 08:44:44] IP: 172.23.151.196 | Usuario: manuel.linares | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Reporte Firmware SV
[2025-06-11 09:09:40] IP: 172.16.68.101 | Usuario: Invitado | Página: Desconocido | Elemento: No especificado
[2025-06-11 14:58:54] IP: 172.16.68.101 | Usuario: luis.caballeros | Página: Desconocido | Elemento: No especificado
[2025-06-11 15:01:17] IP: 172.16.68.101 | Usuario: luis.caballeros | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-06-11 15:14:23] IP: 172.16.68.101 | Usuario: luis.caballeros | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-06-11 15:25:06] IP: 172.16.68.252 | Usuario: osorio.albert | Página: Desconocido | Elemento: No especificado
[2025-06-11 15:25:09] IP: 172.16.68.252 | Usuario: osorio.albert | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
[2025-06-11 15:27:25] IP: 172.16.68.252 | Usuario: osorio.albert | Página: http://172.16.68.252:888/monitoreos/dump_axess/dump.php | Elemento: Internet v2
